"s","a","r","sp"
24715,1,-225,24214
24214,1,-225,23713
23713,1,-225,23212
23212,1,-225,22711
22711,1,-225,22709
22709,1,-225,22207
22207,1,-225,21705
21705,1,-225,21703
21703,1,-225,21200
21200,1,-225,21197
21197,1,-225,20694
20694,1,-225,20691
20691,1,-225,20188
20188,1,-225,20185
20185,1,-225,20181
20181,1,-225,20178
20178,1,-225,20174
20174,1,-225,20171
20171,1,-225,20168
20168,1,-225,20164
20164,1,-225,20161
20161,1,-225,20158
20158,1,-225,20655
20655,1,-225,20652
20652,1,-225,21149
21149,1,-225,21146
21146,1,-225,21644
21644,1,-225,21642
21642,1,-225,22140
22140,1,-225,22138
22138,1,-225,22637
22637,1,-225,23135
23135,1,-225,23634
23634,1,-225,23633
23633,1,-225,24133
24133,1,-225,24633
24633,1,-225,25133
25133,7,-225,26133
26133,7,-225,26635
26635,7,-225,27637
27637,7,-225,28640
28640,7,-225,29643
29643,7,-225,30647
30647,7,-225,31652
31652,7,-225,32657
32657,7,-225,33163
33163,7,-225,34169
34169,7,-225,34676
34676,7,-225,35183
35183,7,-225,35691
35691,7,-225,36199
36199,7,-225,36707
36707,7,-225,36716
36716,7,-225,37224
37224,7,-225,37233
37233,7,-225,37242
37242,7,-225,37250
37250,7,-225,37259
37259,7,-225,36767
36767,7,-225,36775
36775,7,-225,36283
36283,7,-225,35791
35791,7,-225,35298
35298,7,-225,34805
34805,7,-225,34311
34311,7,-225,33817
33817,7,-225,33323
33323,7,-225,32328
32328,7,-225,31833
31833,7,-225,31338
31338,7,-225,30842
30842,7,-225,30345
30345,7,-225,29348
29348,7,-225,28851
28851,7,-225,28353
28353,7,-225,27855
27855,7,-225,26856
26856,7,-225,26357
26357,7,-225,25858
25858,7,-225,25358
25358,7,-225,24357
24357,1,-225,23356
23356,1,-225,22354
22354,1,-225,20851
20851,1,-225,19847
19847,1,-225,18343
18343,1,-225,17337
17337,1,-225,15831
15831,1,-225,14823
14823,1,-225,13315
